prompt,data_type,head,label,avg_window_entropy,min_window_entropy,max_window_entropy
blue_monk,time,10,chick,4.340295485556657,4.267096881898331,4.574704348156199
blue_monk,time,11,chick,4.532702553198861,4.486621125168544,4.5795815370830715
blue_monk,time,12,chick,4.699312125534443,4.678030059566357,4.717353827954713
blue_monk,time,13,chick,4.522472728756984,4.454514255452513,4.588504555447299
blue_monk,time,14,chick,4.6346312677411685,4.608305804801389,4.695896500789489
blue_monk,time,15,chick,4.407918816410449,4.151984761187117,4.707340371410035
brazil,pitch,0,chick,4.704930711898694,4.66293180636969,4.745524638044796
brazil,pitch,1,chick,4.400436195785664,4.31296828424954,4.445070400223553
brazil,pitch,2,chick,4.762665202874447,4.757598649192351,4.770551693821594
brazil,pitch,3,chick,4.060936297430521,4.019347925257433,4.113891682980127
brazil,pitch,4,chick,3.7862036660078435,3.552536115891995,3.8759555935787646
brazil,pitch,5,chick,4.4260797478746605,4.368260455132202,4.591277315148399
brazil,pitch,6,chick,4.36824152028503,4.281140913426247,4.480727143652926
brazil,pitch,7,chick,4.606958340485921,4.559440905178826,4.658640774020045
brazil,pitch,8,chick,4.36090181319835,4.284053322191429,4.42301133293267
brazil,pitch,9,chick,4.301441727857071,4.207862311718298,4.390492965890678
brazil,pitch,10,chick,4.71920570376102,4.703610660904989,4.763022129127398
brazil,pitch,11,chick,4.582311469594144,4.559663099681513,4.6225777667213865
brazil,pitch,12,chick,4.749595479237916,4.725013991878144,4.763801345487329
brazil,pitch,13,chick,4.379884533961863,4.298105015836561,4.6302715239053365
brazil,pitch,14,chick,4.472150417817843,3.9808172099577686,4.579159130421776
brazil,pitch,15,chick,4.412847826368226,4.347805273304218,4.666481608682852
brazil,dur,0,chick,4.714687904376921,4.699879061507163,4.7262589076683375
brazil,dur,1,chick,4.7317299677767375,4.696724585978777,4.765075766075866
brazil,dur,2,chick,4.771124384871456,4.767250652947147,4.775865139906197
brazil,dur,3,chick,4.294649420648974,4.1947796094101335,4.395134321499296
brazil,dur,4,chick,4.5204123631406326,4.332204935916988,4.6305013521856235
brazil,dur,5,chick,4.731322760853642,4.709223190823211,4.764334842310726
brazil,dur,6,chick,4.382257878121298,4.113497386537735,4.493487274331946
brazil,dur,7,chick,4.492795028134017,4.38508943995258,4.531763010455049
brazil,dur,8,chick,4.280777108861842,4.187581423123185,4.369285168714388
brazil,dur,9,chick,3.8773798155696357,3.8325928461766128,3.962547378890675
brazil,dur,10,chick,4.737594571437636,4.703667202572076,4.749248006536604
brazil,dur,11,chick,4.3953495464341135,4.340018224637044,4.510536807646886
brazil,dur,12,chick,4.695661505598159,4.6859848329879625,4.729677891557878
brazil,dur,13,chick,4.615291851211926,4.5779617126696355,4.7110202452996885
brazil,dur,14,chick,4.675980082612757,4.655621369339228,4.6950677267482535
brazil,dur,15,chick,4.555429986611161,4.514559266415089,4.577631789978674
brazil,time,0,chick,4.325930108441495,4.2531039007945255,4.496921014467874
brazil,time,1,chick,4.5278322462518705,4.515053498933856,4.555232645235218
brazil,time,2,chick,4.743387937061871,4.72997694070949,4.771730893085052
brazil,time,3,chick,4.448778982299604,4.351300968737283,4.568345392168158
brazil,time,4,chick,4.652166963922046,4.532255784311091,4.674124106019269
brazil,time,5,chick,4.554025230163077,4.443171909600386,4.737579963129709
brazil,time,6,chick,4.468403014084514,4.267417423253191,4.763928531962131
brazil,time,7,chick,4.52833549460777,4.489592224144126,4.7211612863315215
brazil,time,8,chick,4.663814184795063,4.589195500305218,4.704224380014016
brazil,time,9,chick,4.610046250816775,4.146514493695535,4.696156562941706
brazil,time,10,chick,4.209741855288702,4.151185172957051,4.483380070637471
brazil,time,11,chick,4.510427418869925,4.41448115137785,4.533284450646901
brazil,time,12,chick,4.614898770333005,4.49730327288178,4.664476488559234
brazil,time,13,chick,4.613094106425425,4.5092464426223575,4.706049871052842
brazil,time,14,chick,4.621164543721661,4.547411497976477,4.657538668718725
brazil,time,15,chick,4.57806334801989,4.417862192328105,4.719761499723176
but_beautiful,pitch,0,chick,4.73092871608154,4.724593583758909,4.744516462988453
but_beautiful,pitch,1,chick,4.344541914840255,4.136685210146246,4.381097571551212
but_beautiful,pitch,2,chick,4.7735465033463145,4.7720028927912175,4.7775417926137935
but_beautiful,pitch,3,chick,4.063005267753019,4.030907093979408,4.119889271587269
but_beautiful,pitch,4,chick,4.370613125107844,4.174972788163735,4.5084147862591974
but_beautiful,pitch,5,chick,4.401506000043542,4.256221248665873,4.495747909738239
but_beautiful,pitch,6,chick,4.469307118300471,4.2417986811400565,4.51378801140183
but_beautiful,pitch,7,chick,4.6991521290103355,4.677562869853144,4.716361133228931
